Date,Solar_Irradiance_MJ_m2,Temperature_C,Relative_Humidity_pct,Cloud_Fraction,Wind_Speed_ms,Precipitation_mm
2019-01-01,4.2415,14.86,22.18,5.47,1.41,0.0
2019-01-02,4.3066,14.81,29.12,2.72,1.6,0.0
2019-01-03,4.0877,14.55,28.39,14.82,1.19,0.0
2019-01-04,2.7336,13.4,38.95,88.54,1.35,0.0
2019-01-05,4.0752,14.04,37.86,25.6,1.87,0.0
2019-01-06,3.2381,12.97,46.6,9.49,2.06,0.15
2019-01-07,3.6533,12.62,52.65,9.18,1.56,0.0
2019-01-08,4.0392,13.18,45.85,3.16,1.36,0.0
2019-01-09,4.1549,13.25,41.77,3.1,1.96,0.0
2019-01-10,4.307,13.81,38.97,33.89,1.18,0.0
2019-01-11,4.1494,14.18,36.25,5.68,1.35,0.0
2019-01-12,4.062,14.85,32.89,5.29,1.18,0.0
2019-01-13,3.7769,14.15,38.84,9.35,1.57,0.0
2019-01-14,3.9996,12.56,35.22,11.95,2.6,0.0
2019-01-15,4.3186,12.82,20.78,43.54,1.49,0.0
2019-01-16,4.3138,15.31,17.3,17.39,1.42,0.0
2019-01-17,4.4117,15.41,19.61,3.91,1.38,0.0
2019-01-18,4.3008,15.77,22.84,6.74,1.31,0.0
2019-01-19,4.1693,17.8,22.17,25.7,1.41,0.0
2019-01-20,4.5106,17.9,25.3,41.39,1.88,0.0
2019-01-21,2.659,18.28,29.22,83.97,2.2,2.56
2019-01-22,3.4087,14.19,57.27,65.58,2.06,2.75
2019-01-23,3.8218,13.86,58.55,17.75,1.53,0.53
2019-01-24,2.0323,13.39,60.41,50.87,2.2,2.77
2019-01-25,3.7234,12.16,53.04,12.04,1.79,0.38
2019-01-26,4.86,10.07,42.73,4.54,1.64,0.0
2019-01-27,4.5708,9.46,42.19,11.64,2.04,0.0
2019-01-28,4.8468,10.16,39.44,4.83,2.05,0.0
2019-01-29,5.028,11.57,30.17,8.42,1.64,0.0
2019-01-30,4.6212,13.82,25.07,54.07,1.23,0.0
2019-01-31,3.7452,13.77,28.05,70.82,2.05,0.0
2019-02-01,4.6687,13.41,37.22,11.44,2.31,0.0
2019-02-02,4.1628,12.33,51.39,15.24,1.78,0.0
2019-02-03,4.2158,13.57,44.05,7.79,1.11,0.0
2019-02-04,3.7649,16.41,39.63,13.56,1.74,0.0
2019-02-05,3.073,20.26,40.55,54.48,1.54,0.0
2019-02-06,4.1993,20.35,34.78,27.49,1.03,0.02
2019-02-07,4.9615,15.47,33.38,18.53,2.97,0.06
2019-02-08,5.4907,12.43,27.66,7.19,1.47,0.0
2019-02-09,5.5776,12.19,25.36,11.22,1.88,0.0
2019-02-10,4.4431,13.46,23.78,43.14,1.27,0.0
2019-02-11,4.7201,15.17,20.73,66.49,1.41,0.0
2019-02-12,5.0482,16.15,26.28,40.76,1.75,0.0
2019-02-13,3.5167,18.49,25.36,81.69,1.9,0.22
2019-02-14,4.8511,19.62,35.71,33.93,2.7,0.37
2019-02-15,5.2858,16.0,35.92,4.93,2.72,0.01
2019-02-16,5.7499,14.4,40.48,2.91,2.18,0.0
2019-02-17,5.3698,15.55,31.47,38.9,1.69,0.0
2019-02-18,5.1862,18.95,23.57,31.32,2.58,0.05
2019-02-19,5.2073,19.93,40.22,38.96,1.42,0.12
2019-02-20,4.0188,20.98,45.91,87.1,2.79,0.57
2019-02-21,5.172,20.25,48.48,48.09,2.44,0.0
2019-02-22,5.5313,18.68,39.03,28.42,2.88,0.0
2019-02-23,5.483,15.9,26.19,50.4,1.98,0.0
2019-02-24,5.2267,17.36,22.74,48.58,1.86,0.0
2019-02-25,5.6849,17.67,21.26,16.27,2.12,0.0
2019-02-26,3.2779,17.4,23.23,80.3,2.21,0.33
2019-02-27,4.8989,16.02,33.85,28.6,2.62,0.05
2019-02-28,6.1075,15.47,31.08,22.25,1.36,0.0
2019-03-01,5.9088,17.17,23.43,49.25,1.27,0.0
2019-03-02,2.1149,19.28,25.46,99.44,3.14,1.5
2019-03-03,5.2222,18.94,43.82,62.0,2.62,0.04
2019-03-04,4.9589,17.62,57.35,66.24,1.59,2.55
2019-03-05,6.0098,17.57,43.26,56.35,1.9,0.09
2019-03-06,6.1896,17.86,34.17,64.59,1.71,0.0
2019-03-07,6.1466,19.88,29.41,60.33,1.16,0.0
2019-03-08,5.7072,20.66,31.47,69.74,2.13,0.0
2019-03-09,5.9057,19.83,40.53,64.4,2.5,0.0
2019-03-10,5.9978,20.18,30.08,60.82,1.74,0.0
2019-03-11,6.2047,20.57,33.7,56.27,2.97,0.0
2019-03-12,5.1658,19.01,36.49,91.92,2.07,0.0
2019-03-13,3.1039,20.34,31.57,93.33,1.39,0.0
2019-03-14,5.0254,20.38,37.8,78.19,2.54,0.39
2019-03-15,6.0276,19.7,33.44,74.0,2.22,0.0
2019-03-16,5.8925,19.81,27.08,73.26,1.63,0.0
2019-03-17,6.4505,21.01,24.68,58.98,1.86,0.0
2019-03-18,6.5714,21.78,23.07,61.29,1.33,0.0
2019-03-19,6.6866,23.94,22.11,54.23,1.66,0.0
2019-03-20,6.384,24.02,22.66,63.99,2.28,0.0
2019-03-21,6.2374,23.26,27.08,67.1,3.01,0.0
2019-03-22,6.48,23.6,20.61,67.32,2.92,0.0
2019-03-23,6.4454,23.65,20.38,71.76,2.04,0.0
2019-03-24,6.3989,25.54,26.57,61.11,2.65,0.0
2019-03-25,5.3364,25.4,30.86,85.93,3.26,0.0
2019-03-26,6.8642,24.33,21.11,64.5,1.99,0.0
2019-03-27,6.6972,25.93,17.85,72.91,1.38,0.0
2019-03-28,6.3809,29.45,18.97,74.74,1.42,0.0
2019-03-29,6.425,30.23,19.88,73.06,1.54,0.0
2019-03-30,6.7855,30.1,21.32,60.41,1.76,0.0
2019-03-31,6.1922,28.08,20.14,86.65,3.44,0.02
2019-04-01,7.1366,27.5,11.79,63.41,2.17,0.0
2019-04-02,6.781,28.03,13.53,83.02,1.77,0.0
2019-04-03,6.7968,29.95,13.22,64.21,1.48,0.0
2019-04-04,7.0433,31.14,15.32,63.91,1.57,0.0
2019-04-05,5.6726,33.14,15.2,78.03,2.15,0.0
2019-04-06,6.8786,32.33,18.61,63.72,2.99,0.18
2019-04-07,6.8542,31.95,17.35,64.15,2.89,0.0
2019-04-08,6.9468,30.69,19.83,60.59,1.83,0.41
2019-04-09,7.1486,30.96,19.68,65.88,1.55,0.0
2019-04-10,6.4968,31.66,20.34,88.68,1.79,0.0
2019-04-11,6.8465,32.78,20.32,70.47,1.87,0.0
2019-04-12,6.773,32.7,21.66,75.37,1.57,0.0
2019-04-13,6.8294,32.51,22.79,66.23,2.21,0.0
2019-04-14,7.1789,32.23,23.17,62.36,1.41,0.0
2019-04-15,6.0996,29.85,34.95,88.33,3.1,0.93
2019-04-16,3.935,27.12,47.24,97.22,3.22,3.89
2019-04-17,5.4761,23.24,63.95,75.34,2.71,14.47
2019-04-18,6.9031,23.82,55.3,60.99,2.15,0.03
2019-04-19,7.3044,24.92,42.57,44.37,1.79,0.0
2019-04-20,7.6313,26.52,36.19,36.72,1.52,0.0
2019-04-21,7.2257,30.04,28.91,56.48,1.29,0.0
2019-04-22,7.5026,30.79,28.05,58.5,1.87,0.07
2019-04-23,7.5566,33.23,22.61,60.07,1.48,0.0
2019-04-24,7.4237,33.37,22.47,57.73,2.82,0.0
2019-04-25,7.337,33.12,18.8,56.5,3.56,0.0
2019-04-26,6.6449,33.42,24.21,51.03,2.24,0.0
2019-04-27,7.5158,33.6,20.91,51.03,1.96,0.0
2019-04-28,7.2847,33.57,19.7,64.98,1.7,0.0
2019-04-29,7.7803,34.26,15.04,61.77,1.93,0.0
2019-04-30,7.7734,32.98,14.81,57.84,3.13,0.0
2019-05-01,7.3279,32.73,16.19,65.67,2.14,0.0
2019-05-02,6.949,33.06,16.71,82.94,2.11,0.0
2019-05-03,5.9098,32.63,18.04,79.03,2.83,0.01
2019-05-04,6.6017,32.63,20.24,68.67,1.99,0.06
2019-05-05,7.6661,32.11,19.11,56.67,2.41,0.0
2019-05-06,7.6754,32.98,11.81,61.85,3.48,0.0
2019-05-07,7.4714,33.1,14.98,74.79,4.7,0.0
2019-05-08,7.4426,33.7,16.99,71.23,4.43,0.0
2019-05-09,7.5185,33.08,21.77,66.69,5.43,0.0
2019-05-10,7.9006,32.66,24.58,57.37,3.77,0.0
2019-05-11,7.097,32.68,25.09,81.14,2.18,0.09
2019-05-12,6.6461,32.84,25.74,81.88,2.35,0.01
2019-05-13,7.0891,33.79,23.51,58.01,2.09,0.59
2019-05-14,6.7886,33.01,27.16,62.08,1.87,1.99
2019-05-15,6.955,33.19,28.97,60.82,1.71,1.87
2019-05-16,7.1606,32.67,30.63,60.83,2.87,0.93
2019-05-17,6.8527,30.91,34.85,67.59,4.13,1.26
2019-05-18,7.6162,29.03,44.16,44.34,3.6,0.0
2019-05-19,7.632,31.24,28.18,57.14,1.93,0.0
2019-05-20,6.4934,34.08,24.18,70.91,1.8,0.14
2019-05-21,6.5563,34.86,26.92,70.14,1.82,0.21
2019-05-22,6.5496,34.75,28.91,80.2,1.7,1.98
2019-05-23,6.665,35.14,29.85,69.58,2.46,1.0
2019-05-24,6.9386,34.13,30.85,72.1,2.49,0.03
2019-05-25,7.3411,33.2,28.31,59.78,2.45,0.07
2019-05-26,7.2948,34.37,23.79,75.36,2.52,0.0
2019-05-27,7.3356,35.48,18.75,74.34,2.08,0.0
2019-05-28,7.3272,36.39,16.05,63.51,1.63,0.0
2019-05-29,6.8911,37.01,16.41,70.42,2.17,0.0
2019-05-30,6.3454,37.89,16.23,77.66,3.15,0.0
2019-05-31,6.023,38.28,18.09,76.13,2.18,0.0
2019-06-01,6.9926,38.34,18.6,73.1,3.55,0.0
2019-06-02,7.4964,38.05,14.21,72.17,4.01,0.0
2019-06-03,7.0102,37.95,14.27,70.75,3.08,0.0
2019-06-04,7.5154,37.53,17.11,59.97,3.97,0.0
2019-06-05,7.5341,37.58,19.68,47.68,3.48,0.0
2019-06-06,7.1822,38.23,17.53,60.68,3.18,0.0
2019-06-07,7.4801,36.79,13.48,69.74,2.12,0.0
2019-06-08,7.3754,37.57,13.57,63.55,1.9,0.0
2019-06-09,7.5348,38.69,13.09,65.32,1.76,0.0
2019-06-10,7.387,38.62,14.24,65.61,3.55,0.0
2019-06-11,6.8813,39.15,19.58,61.14,3.81,0.58
2019-06-12,5.6935,37.42,28.15,63.05,2.19,3.12
2019-06-13,3.4553,34.49,40.88,98.47,1.84,0.49
2019-06-14,5.7449,36.43,30.54,84.84,3.12,0.0
2019-06-15,4.8852,34.24,39.54,94.74,4.09,3.55
2019-06-16,5.3902,33.19,47.28,77.15,3.9,2.91
2019-06-17,6.6511,33.06,46.58,49.85,3.97,2.75
2019-06-18,4.7347,31.18,51.54,83.8,2.35,3.43
2019-06-19,6.4812,30.37,55.18,58.06,3.17,0.37
2019-06-20,6.3907,32.67,48.24,74.31,1.68,0.17
2019-06-21,5.1259,34.17,43.02,73.35,2.51,0.98
2019-06-22,6.7999,35.94,33.89,46.25,2.42,0.0
2019-06-23,6.6475,35.62,33.31,60.68,2.41,0.01
2019-06-24,6.1126,35.3,40.63,76.39,1.94,3.47
2019-06-25,5.1667,34.64,44.31,85.41,1.49,0.78
2019-06-26,6.4459,36.38,33.17,60.28,2.46,0.0
2019-06-27,6.2834,35.97,35.2,59.53,3.03,0.14
2019-06-28,6.6665,36.28,38.91,67.17,3.45,0.65
2019-06-29,6.3278,36.21,37.34,73.39,4.02,0.55
2019-06-30,6.5606,36.69,34.98,78.6,3.66,1.08
2019-07-01,6.648,35.18,42.49,54.76,3.51,6.84
2019-07-02,5.3611,34.67,42.44,79.12,2.62,0.93
2019-07-03,5.7703,34.88,39.36,80.96,2.61,1.08
2019-07-04,3.7795,31.79,59.32,98.61,1.89,10.96
2019-07-05,1.517,31.07,65.76,99.27,1.64,18.01
2019-07-06,3.2758,31.33,65.71,98.75,3.08,30.38
2019-07-07,4.0032,31.23,67.24,97.16,2.79,10.47
2019-07-08,5.9479,31.53,64.77,81.62,3.52,9.61
2019-07-09,5.5402,31.21,59.94,89.06,3.65,1.49
2019-07-10,6.5119,31.64,57.35,77.26,3.86,0.0
2019-07-11,6.1949,31.56,57.24,89.63,5.07,0.0
2019-07-12,6.5105,31.38,56.32,83.52,4.32,0.0
2019-07-13,6.617,31.78,54.45,70.18,4.82,0.0
2019-07-14,6.1118,31.56,54.95,80.54,4.52,0.0
2019-07-15,4.6582,31.15,57.07,96.43,4.4,0.22
2019-07-16,4.6267,31.23,56.6,90.32,3.33,0.08
2019-07-17,5.3076,30.88,60.77,85.15,2.96,6.9
2019-07-18,3.6456,30.36,66.22,93.23,2.28,9.83
2019-07-19,4.7129,31.31,61.27,80.32,1.21,5.51
2019-07-20,5.7362,32.97,52.26,59.22,0.64,0.25
2019-07-21,6.3998,33.13,53.51,65.55,1.77,0.38
2019-07-22,6.3494,32.19,60.68,67.65,1.55,0.09
2019-07-23,6.7464,32.82,57.9,89.71,1.3,0.06
2019-07-24,4.8302,30.94,71.64,96.28,2.77,55.67
2019-07-25,2.219,27.81,84.97,99.69,2.01,48.73
2019-07-26,1.2458,26.89,90.14,99.86,1.78,43.26
2019-07-27,1.7026,27.55,86.87,99.51,1.82,45.59
2019-07-28,3.8988,27.75,84.18,96.07,3.16,26.43
2019-07-29,4.9843,28.3,83.79,78.32,2.62,1.67
2019-07-30,5.7434,29.04,82.03,80.57,2.2,0.07
2019-07-31,4.4534,28.57,81.7,96.88,1.57,0.91
2019-08-01,4.1587,29.05,80.48,91.36,0.74,10.67
2019-08-02,3.9967,28.75,85.17,95.78,1.68,14.93
2019-08-03,5.2891,28.44,83.16,80.26,1.91,9.9
2019-08-04,5.0074,29.77,76.23,93.93,1.14,5.19
2019-08-05,5.1614,29.26,81.82,89.78,1.55,0.78
2019-08-06,2.9446,28.61,84.36,99.23,2.3,25.88
2019-08-07,3.4927,27.77,85.42,96.14,2.03,10.37
2019-08-08,5.8356,27.95,83.75,72.99,2.32,3.76
2019-08-09,4.1844,27.7,84.32,80.78,4.53,5.78
2019-08-10,4.5665,26.93,86.56,61.95,3.82,6.75
2019-08-11,4.5442,27.36,84.67,59.55,2.54,0.17
2019-08-12,5.1137,28.33,82.54,77.36,2.2,0.01
2019-08-13,3.8573,28.12,80.84,96.88,2.51,15.5
2019-08-14,2.8495,27.72,83.91,96.14,2.1,13.48
2019-08-15,2.855,26.48,90.05,99.53,2.84,18.97
2019-08-16,2.9815,26.95,88.41,99.05,3.22,28.35
2019-08-17,1.4671,25.97,91.52,99.04,3.71,31.58
2019-08-18,5.197,27.11,87.01,88.44,2.94,2.22
2019-08-19,6.1056,27.42,84.24,67.06,2.54,1.2
2019-08-20,6.6977,27.46,81.92,57.32,3.05,0.11
2019-08-21,6.8453,27.2,81.6,57.64,3.38,3.92
2019-08-22,6.4178,27.23,80.58,73.48,2.78,2.47
2019-08-23,6.0566,27.22,80.61,67.67,2.78,2.18
2019-08-24,5.8421,27.43,79.76,88.29,2.51,0.43
2019-08-25,4.0519,26.55,86.2,95.49,1.54,14.78
2019-08-26,4.715,26.36,88.35,85.06,1.37,4.58
2019-08-27,4.4957,27.12,84.32,86.22,1.81,4.74
2019-08-28,4.9253,27.73,83.82,89.2,2.18,3.5
2019-08-29,5.357,28.05,85.58,92.66,1.07,2.12
2019-08-30,4.5451,28.13,84.44,90.2,1.14,4.29
2019-08-31,5.4746,28.85,80.52,72.92,0.73,5.94
2019-09-01,3.7157,28.66,80.95,94.54,1.2,7.0
2019-09-02,4.488,28.46,83.02,83.62,0.74,3.59
2019-09-03,5.119,28.72,83.49,79.87,1.13,9.57
2019-09-04,4.0658,27.28,90.75,85.67,1.64,2.28
2019-09-05,5.0374,27.25,85.57,90.78,1.07,1.11
2019-09-06,4.0202,28.22,84.65,92.15,1.04,0.88
2019-09-07,3.2378,28.5,83.29,97.53,0.62,3.07
2019-09-08,4.86,27.4,88.74,92.28,1.09,1.72
2019-09-09,5.8015,29.02,75.59,70.19,1.59,0.07
2019-09-10,5.6885,28.98,73.47,66.99,0.84,0.0
2019-09-11,5.9717,29.19,79.25,61.89,1.74,0.03
2019-09-12,5.5262,29.32,81.71,84.05,1.95,1.06
2019-09-13,3.8609,28.36,84.0,92.8,1.01,3.05
2019-09-14,4.8869,27.83,83.31,78.59,1.38,8.28
2019-09-15,2.9093,27.77,81.01,97.67,1.35,17.62
2019-09-16,5.8106,28.2,79.69,57.51,1.93,1.94
2019-09-17,5.6724,28.32,78.79,66.85,1.67,0.85
2019-09-18,5.4362,28.19,78.32,69.12,1.02,0.7
2019-09-19,5.7079,26.18,84.25,60.67,1.83,0.0
2019-09-20,5.0731,26.03,82.74,63.63,1.7,0.03
2019-09-21,3.8309,26.62,81.62,92.92,1.3,1.62
2019-09-22,5.6578,25.7,86.1,55.62,2.11,0.97
2019-09-23,5.4,25.21,84.92,49.29,2.01,0.24
2019-09-24,3.9372,25.39,85.36,51.21,1.75,0.23
2019-09-25,4.2113,24.86,89.0,66.46,2.45,5.39
2019-09-26,4.1114,24.79,88.65,85.03,1.65,1.83
2019-09-27,4.8017,25.66,84.1,86.61,1.33,1.31
2019-09-28,3.9838,25.57,82.21,83.25,1.76,0.29
2019-09-29,3.8683,25.16,83.03,69.16,1.82,3.79
2019-09-30,4.6944,25.13,81.57,77.71,1.68,1.5
2019-10-01,4.1652,25.47,79.95,89.69,1.05,0.26
2019-10-02,5.3119,25.19,80.69,62.16,1.2,0.52
2019-10-03,5.0882,25.0,78.5,69.22,1.51,2.97
2019-10-04,5.5171,24.7,73.22,63.37,0.98,0.38
2019-10-05,5.5783,24.88,71.77,52.38,1.15,0.0
2019-10-06,4.8305,25.22,69.03,67.49,0.63,0.56
2019-10-07,3.9768,24.61,73.91,70.6,1.16,3.4
2019-10-08,5.4953,24.04,66.1,46.65,1.38,0.0
2019-10-09,5.7701,24.82,54.67,53.68,0.84,0.0
2019-10-10,5.8483,24.45,55.22,55.85,1.14,0.0
2019-10-11,5.7223,24.65,52.77,47.28,1.12,0.0
2019-10-12,5.407,25.19,55.32,62.96,0.87,0.0
2019-10-13,5.3069,25.75,61.04,63.31,1.16,0.0
2019-10-14,5.4422,26.42,53.13,43.84,1.04,0.0
2019-10-15,5.2514,26.23,53.55,38.42,0.69,0.0
2019-10-16,5.1494,25.39,58.98,62.73,0.79,0.0
2019-10-17,4.8067,24.35,72.02,65.77,1.61,0.0
2019-10-18,4.7498,24.77,73.49,62.01,1.47,0.19
2019-10-19,3.9614,24.79,70.38,81.46,0.81,0.2
2019-10-20,4.4873,25.23,53.64,65.7,0.61,0.0
2019-10-21,4.608,24.58,44.68,67.7,0.79,0.0
2019-10-22,4.6942,23.11,46.36,73.86,1.2,0.0
2019-10-23,5.0971,22.99,44.62,64.4,1.06,0.0
2019-10-24,5.0746,23.18,46.46,62.4,1.04,0.0
2019-10-25,4.7062,21.88,59.68,57.24,1.53,0.0
2019-10-26,4.7431,21.5,70.04,41.58,1.46,0.0
2019-10-27,4.9668,22.52,60.14,44.9,0.9,0.0
2019-10-28,2.6486,22.71,63.05,97.21,0.9,0.0
2019-10-29,2.9342,23.93,62.56,92.56,0.74,0.0
2019-10-30,3.7627,24.29,56.97,67.88,0.95,0.0
2019-10-31,4.5595,24.87,63.42,54.7,0.97,0.0
2019-11-01,4.4556,25.08,65.65,53.49,0.95,0.01
2019-11-02,4.0562,24.56,63.34,25.75,0.95,0.6
2019-11-03,3.8393,23.44,70.38,63.75,1.17,2.91
2019-11-04,4.1287,23.43,63.09,45.43,1.24,0.19
2019-11-05,4.6896,22.37,50.21,44.77,1.33,0.0
2019-11-06,3.2081,22.29,53.66,92.35,1.91,0.0
2019-11-07,3.9578,19.79,82.1,67.94,2.05,1.99
2019-11-08,4.1837,22.13,72.94,63.61,1.13,0.03
2019-11-09,3.9041,21.85,61.36,59.3,2.01,0.0
2019-11-10,4.0078,21.55,56.42,35.38,1.34,0.0
2019-11-11,3.8117,22.61,60.84,35.43,1.27,0.0
2019-11-12,3.7548,21.85,61.61,30.53,1.26,0.0
2019-11-13,3.3607,21.84,68.6,73.37,1.35,0.0
2019-11-14,3.1596,21.83,74.79,73.44,1.3,0.21
2019-11-15,3.5544,21.63,59.36,42.13,1.08,0.0
2019-11-16,3.6029,20.34,57.07,21.63,1.71,0.0
2019-11-17,4.1436,19.65,62.81,33.8,2.79,0.0
2019-11-18,4.051,19.44,58.64,59.42,1.92,0.0
2019-11-19,4.225,20.11,53.28,58.7,1.24,0.0
2019-11-20,4.2415,20.33,53.32,22.38,1.19,0.0
2019-11-21,3.6864,20.9,62.7,76.55,1.02,0.0
2019-11-22,3.419,20.23,67.69,83.8,1.28,0.0
2019-11-23,3.0154,20.64,71.44,86.97,0.54,0.0
2019-11-24,3.0634,19.45,69.47,75.69,0.85,0.0
2019-11-25,3.3931,20.3,69.64,28.36,1.38,0.0
2019-11-26,3.1541,21.08,68.78,23.04,1.74,0.32
2019-11-27,3.1932,20.84,66.89,47.61,1.5,0.3
2019-11-28,2.8332,20.21,69.9,61.87,1.43,0.09
2019-11-29,1.7758,19.08,72.7,52.78,2.23,0.0
2019-11-30,2.8248,17.03,60.82,38.35,1.69,0.0
2019-12-01,2.4902,16.62,54.44,27.06,1.42,0.0
2019-12-02,3.4534,15.8,43.33,5.14,1.66,0.0
2019-12-03,4.3685,16.56,34.63,4.74,1.66,0.0
2019-12-04,4.4554,16.71,33.96,11.7,1.23,0.0
2019-12-05,4.171,15.27,44.69,30.99,1.42,0.0
2019-12-06,2.7818,14.69,47.81,84.04,1.45,0.0
2019-12-07,3.2292,15.65,49.16,12.54,1.48,0.0
2019-12-08,3.0821,15.74,53.96,5.14,1.22,0.0
2019-12-09,3.029,16.4,56.38,18.41,0.82,0.0
2019-12-10,3.2314,16.87,57.16,3.52,0.66,0.0
2019-12-11,2.7098,16.54,62.9,62.76,1.07,0.0
2019-12-12,2.8814,14.66,85.25,66.02,1.04,7.59
2019-12-13,2.3628,13.88,78.53,60.52,2.15,0.34
2019-12-14,3.6125,12.37,68.31,10.85,1.41,0.0
2019-12-15,3.5969,11.67,62.26,7.18,1.87,0.0
2019-12-16,3.1464,10.23,66.52,36.58,1.64,0.0
2019-12-17,2.5442,10.06,62.27,56.44,1.54,0.0
2019-12-18,3.4078,10.43,63.95,36.07,0.94,0.0
2019-12-19,3.8971,12.18,58.59,39.16,1.12,0.0
2019-12-20,3.786,13.83,54.4,53.41,0.71,0.0
2019-12-21,3.6989,14.9,53.24,12.25,1.17,0.0
2019-12-22,3.6986,12.65,53.56,3.51,1.59,0.0
2019-12-23,3.8146,12.71,49.76,33.67,1.39,0.0
2019-12-24,2.9594,12.85,51.3,13.76,1.66,0.0
2019-12-25,3.5292,11.77,46.53,5.46,1.53,0.0
2019-12-26,4.1354,10.6,40.19,3.96,1.74,0.0
2019-12-27,4.2242,10.3,39.41,4.82,1.01,0.0
2019-12-28,4.0548,8.84,49.35,12.15,1.26,0.0
2019-12-29,3.6986,8.58,49.68,18.86,1.5,0.0
2019-12-30,3.5957,8.45,52.2,28.96,1.52,0.0
2019-12-31,2.8615,8.53,61.33,54.51,1.66,0.0
2020-01-01,3.109,10.54,59.16,16.1,2.6,0.0
2020-01-02,2.0486,11.08,77.23,31.36,2.07,0.0
2020-01-03,3.4272,13.77,67.38,3.55,1.05,0.0
2020-01-04,2.5625,14.38,62.85,15.06,0.87,0.0
2020-01-05,3.0936,14.67,50.03,34.11,0.71,0.0
2020-01-06,3.4771,14.94,56.47,62.97,1.6,0.0
2020-01-07,3.4418,15.61,60.7,67.26,1.8,0.09
2020-01-08,2.3062,13.36,69.06,45.95,2.65,0.31
2020-01-09,4.4198,9.68,59.23,3.94,1.88,0.0
2020-01-10,4.4986,9.37,47.32,5.58,1.36,0.0
2020-01-11,4.2984,10.94,41.47,21.85,1.4,0.0
2020-01-12,4.1602,13.53,41.27,2.32,1.65,0.0
2020-01-13,2.7418,14.59,67.15,26.27,3.14,0.01
2020-01-14,4.0999,12.55,65.88,4.77,1.92,0.0
2020-01-15,2.7564,13.62,61.27,40.77,1.94,0.46
2020-01-16,1.4482,11.49,77.85,64.6,2.47,1.13
2020-01-17,3.8352,11.69,65.36,13.66,1.29,0.01
2020-01-18,3.5158,11.96,62.51,24.23,1.52,0.0
2020-01-19,3.7553,11.12,56.8,34.54,1.26,0.0
2020-01-20,3.3118,11.92,47.55,61.91,1.17,0.0
2020-01-21,4.2379,13.88,50.47,42.94,1.88,0.0
2020-01-22,4.2079,13.25,51.45,8.61,2.04,0.0
2020-01-23,4.6966,11.77,51.17,34.13,2.54,0.0
2020-01-24,4.8386,12.22,41.72,30.11,1.72,0.0
2020-01-25,4.7251,15.28,37.24,9.61,0.96,0.0
2020-01-26,4.7834,17.0,37.94,11.17,1.19,0.0
2020-01-27,4.2833,16.48,51.14,22.59,1.73,0.24
2020-01-28,3.6998,16.0,60.52,39.08,2.06,0.06
2020-01-29,4.8475,13.79,47.05,12.13,1.53,0.0
2020-01-30,4.8886,12.57,47.64,4.48,1.63,0.0
2020-01-31,4.9865,13.12,39.96,2.66,1.48,0.0
2020-02-01,4.9044,13.09,39.1,4.61,1.28,0.0
2020-02-02,5.0124,13.12,42.65,6.19,1.1,0.0
2020-02-03,4.8883,13.12,37.98,11.47,1.29,0.0
2020-02-04,4.3706,14.07,42.53,13.23,1.46,0.0
2020-02-05,4.4448,13.67,44.74,10.61,1.57,0.0
2020-02-06,4.7522,13.91,38.17,2.61,1.33,0.0
2020-02-07,4.889,12.68,41.77,3.89,1.92,0.0
2020-02-08,4.956,13.02,40.03,1.61,1.47,0.0
2020-02-09,4.9567,14.37,33.29,14.3,0.97,0.0
2020-02-10,4.9769,15.39,27.72,8.25,0.94,0.0
2020-02-11,5.088,15.63,33.31,15.84,1.05,0.0
2020-02-12,5.1626,17.27,34.26,11.87,1.11,0.0
2020-02-13,5.1756,18.5,36.17,5.23,1.77,0.0
2020-02-14,5.0856,17.76,35.45,27.95,2.6,0.0
2020-02-15,5.7154,17.14,22.09,21.69,2.09,0.0
2020-02-16,5.8574,19.43,17.78,2.07,1.49,0.0
2020-02-17,5.7034,19.46,18.48,3.8,1.47,0.0
2020-02-18,5.7418,19.91,18.17,6.3,1.63,0.0
2020-02-19,4.7887,19.46,24.31,75.56,1.7,0.0
2020-02-20,4.9469,19.97,37.02,38.15,1.94,0.63
2020-02-21,4.8571,17.24,49.17,19.44,2.72,0.45
2020-02-22,4.8026,17.12,62.4,3.44,2.0,0.0
2020-02-23,3.7486,18.13,58.75,21.28,1.54,0.0
2020-02-24,4.2883,18.85,52.39,7.27,1.45,0.0
2020-02-25,5.3006,20.02,37.5,3.38,1.57,0.0
2020-02-26,5.6078,20.21,39.28,7.32,1.38,0.0
2020-02-27,4.7114,22.29,34.84,70.39,1.48,0.0
2020-02-28,3.5611,22.27,37.31,86.73,2.03,0.0
2020-02-29,5.2682,22.95,41.98,14.95,1.52,0.06
2020-03-01,5.4482,21.92,47.44,50.07,1.8,0.05
2020-03-02,4.781,22.23,44.57,69.97,1.11,0.0
2020-03-03,4.4213,22.63,41.04,69.95,1.21,0.08
2020-03-04,4.393,21.83,46.43,74.32,1.95,4.78
2020-03-05,4.5821,20.37,62.65,80.1,2.6,4.01
2020-03-06,4.6176,17.32,67.93,74.88,2.66,10.32
2020-03-07,6.1958,16.56,64.77,59.22,1.84,0.0
2020-03-08,6.3065,18.38,53.29,58.12,1.47,0.0
2020-03-09,6.2179,18.79,43.72,61.86,1.72,0.0
2020-03-10,4.7594,17.91,47.82,72.86,2.67,1.56
2020-03-11,5.3246,19.31,55.58,67.96,2.82,0.15
